gene	LAU125	LAU1255	LAU1314	LAU355
RP11-58A12.2	0.02	0.01	0.06	0
RP11-58A12.3	0	0	0.05	0.22
RP11-58B2.1	0	0	0	0
RP11-58C3.2	0	0	0	0
RP11-58E21.1	0.04	0.16	0.5	0.49
RP11-58H15.1	0.17	0.5	0.19	0.3
RP11-58H15.3	0	0	0	0
RP11-58K22.1	0	0	0	0
RP11-58K22.2	0	0	0	0
RP11-58K22.4	0	0	0.34	0
RP11-58K22.5	0	0	0	0.04
RP11-58O15.1	0	0	0	0
RP11-58O3.1	0	0	0.28	0
RP11-58O3.2	0	0	0	0
RP11-591L14.1	0	0	0	0
RP11-592B15.3	0.51	0.13	1.53	0.41
RP11-592B15.4	0.59	0	0.72	0
RP11-592B15.6	0	0	0	0
RP11-592N21.1	0.27	0	0	0.21
RP11-593F5.1	0	0	0	0
RP11-593F5.2	0	0	0	0
RP11-593P24.2	0	0	0	0
RP11-593P24.3	0	0	0	0
RP11-593P24.4	0	0	0	0
RP11-597D13.7	0.04	0.05	0	0
RP11-597D13.8	0	0	0	0
RP11-597D13.9	1.7	0.56	0.05	0.31
RP11-597M17.1	0	0	0	0.07
RP11-597M17.2	0	0	0	0
RP11-597M17.3	0	0	0	0
RP11-598C10.1	0	0	0	0
RP11-598C10.2	0	0	0	0
RP11-598D12.4	0.01	0	0	0
RP11-598D14.1	0	0	0	0
RP11-598F7.4	0	0	0.06	0
RP11-598G2.1	0	0	0	0
RP11-598O12.1	0	0	0	0
RP11-598O8.1	0	0	0.05	0
RP11-598P20.3	5.81	1.05	2.08	2.8
RP11-598P20.5	51.23	7.62	18.59	10.08
RP11-59D5__B.2	0.02	0	0.05	0
RP11-59D5__B.3	0	0	0	0
RP11-59E19.3	0	0.01	0	0
RP11-59H1.1	0	0	0	0
RP11-59H7.1	0	0	0	0
RP11-59J16.2	0	0	0	0
RP11-59K5.1	0	0	0	0
RP11-59O2.1	0	0	0	0
RP11-59O6.3	0	0	0	0.13
RP11-5A11.1	0	0	0	0
RP11-5A11.2	0	0	0	0
RP11-5G18.2	0	0	0	0
RP11-5K16.3	0	0	0	0
RP11-5K23.5	0	0	0	0
RP11-5L12.1	0.06	0	0	0.21
RP11-5N11.1	0	0	0	0
RP11-5N11.2	0	0	0	0
RP11-5N11.3	0	0	0	0
RP11-5N11.4	0	0	0	0
RP11-5N11.5	0	0	0	0
RP11-5N11.6	0	0.13	0	0
RP11-5N11.7	0	0	0	0
RP11-5P18.1	2.37	1.62	1.2	0.68
RP11-5P18.10	0.06	0	0	0
RP11-5P18.3	0	0	0	0
RP11-5P18.5	0.04	0	0	0
RP11-5P22.1	0.06	0	0	0.1
RP11-5P22.2	0	0	0	0
RP11-5P22.3	0	0	0	0.03
RP11-5P4.1	0.4	0.71	0	0
RP11-5P4.2	0	0	0	0
RP11-5P4.3	0	0	0	0
RP11-600F24.1	0	0	0	0.02
RP11-600G3.1	0	0	0	0
RP11-600L4.1	0	0	0	0
RP11-601I15.1	0	0	0	0
RP11-603B13.1	0	0	0	0
RP11-603J24.7	0	0	0	0
RP11-605F14.2	0	0	0	0
RP11-606P2.1	0	0	0	0
RP11-608B3.1	0	0	0	0
RP11-608O21.1	0.03	0.11	0	0
RP11-609C15.1	0.08	0	0	0.03
RP11-609K12.1	0	0	0	0
RP11-609K12.2	0.06	0.12	0	0.31
RP11-60A8.1	0	0	0	0
RP11-60A8.2	0	0	0	0
RP11-60I3.4	0	0.1	0.2	0
RP11-610J23.1	0	0	0	0
RP11-610P16.1	0	0	0.61	0.6
RP11-611L7.2	0.46	0.1	0.32	0.18
RP11-612J15.2	0	0	0	0
RP11-612J15.3	0	0	0	0
RP11-613C6.2	0	0	0.25	0.09
RP11-613C6.4	0.2	0.19	0	0
RP11-613D13.4	0.34	0	0.35	0.09
RP11-613D13.5	0.41	0.03	0.75	0.59
RP11-613D13.8	0.03	0.12	0.02	0
RP11-613F7.1	0	0	0.2	0
RP11-613H2.1	0	0	0	0
RP11-613H2.2	0	0.02	0	0.08
RP11-613M10.6	1.18	1.69	5.01	1.12
RP11-613M5.1	0.03	0.06	0	0
RP11-613M5.2	0.14	0	0.16	0.16
RP11-614F17.1	0	0	0	0
RP11-614F17.2	0	0.04	0	0
RP11-615I16.1	0	0	0	0
RP11-615J4.1	0	0	0	0
RP11-615J4.3	0	0	0	0
RP11-615J4.4	0	0	0	0
RP11-616K22.1	0.02	0.09	0.02	0
RP11-616K6.1	0	0.12	0	0
RP11-617B3.2	0.35	0	0	0
RP11-617I14.1	0.05	0.26	0	0
RP11-617O8.1	0	0	0	0
RP11-618I10.1	0	0	0	0
RP11-618I10.2	0	0	0	0
RP11-618I10.3	0	0	0	0
RP11-618I10.4	0	0	0	0
RP11-618K13.2	0	0	0	0
RP11-618M23.1	0	0	0	0.01
RP11-618M23.2	0	0	0	0
RP11-618M23.4	0	0	0	0
RP11-619A14.2	0	0	0	0
RP11-619A14.3	0	0.44	0	0.07
RP11-619J20.1	0	0	0	0
RP11-619L12.1	0	0	0	0
RP11-619L12.3	0	0	0	0
RP11-619L12.4	0	0	0	0
RP11-61A14.4	0.26	0.19	0.07	0.03
RP11-61D3.1	0	0	0	0
RP11-61F5.1	0	0	0	0
RP11-61G19.1	0	0	0.29	0.14
RP11-61G23.2	0	0	0	0
RP11-61G24.1	0	0	0	0
RP11-61I13.2	0.46	0.06	0	0
RP11-61I13.3	0.21	0.04	0	0.04
RP11-61J19.2	0.17	0	0	0
RP11-61J19.3	0.19	0	0	0
RP11-61K20.1	0	0	0	0
RP11-61K9.2	0.07	0.06	0	0
RP11-61L14.6	0	0.06	0.19	0
RP11-61L23.2	10.08	1.43	6.88	10.07
RP11-61N20.3	0	0	0.1	0
RP11-620J15.2	0.37	0.24	0.01	0
RP11-621K7.1	0.66	0.14	0.6	0.57
RP11-622A1.1	0	0	0	0
RP11-622A1.2	0	0	0	0
RP11-622J8.1	0	0	0	0
RP11-622O11.4	0	0	0	0
RP11-622O11.5	0	0	0	0
RP11-622P13.2	0	0	0	0
RP11-624A4.1	0	0	0	0
RP11-624C23.1	0.07	0.42	5.23	5.75
RP11-624D11.2	0.41	0	0.07	0.18
RP11-624D20.1	0	0	0.05	0.05
RP11-624G17.3	0.7	0.77	0.04	0.03
RP11-624L12.1	0.05	0.09	0.25	0.17
RP11-624M8.1	0.12	0.04	0	0
RP11-624O16.2	0	0	0	0
RP11-625I7.1	0.14	0	0	0
RP11-625P7.1	0	0	0	0
RP11-626E13.1	0.92	0	0	0
RP11-626H12.1	0	0	0	0
RP11-626H12.2	0.01	0	0	0
RP11-626H12.3	0	0	0.1	0
RP11-627G23.1	0	0.01	0.03	0
RP11-627H22.5	0	0	0.02	0.04
RP11-627H22.6	0	0	0	0
RP11-627H22.8	0	0	0	0.03
RP11-627H22.9	0	0.03	0.03	0
RP11-627K11.1	0.14	0.09	0.68	0.2
RP11-628E19.2	0	0	0	0
RP11-628E19.3	0	0	0.03	0
RP11-628J14.1	0	0	0	0
RP11-629B11.4	0	0	0	0
RP11-629G13.1	3.08	0.01	0.12	0.05
RP11-629N8.3	0	0	0.79	0
RP11-629O4.1	0	0	0	0
RP11-62C3.6	0	0	0	0.08
RP11-62C3.8	0	0	0	0.02
RP11-62E14.2	0	0	0	0
RP11-62F24.1	0	0	0	0
RP11-62F24.2	0.95	0.71	0	0
RP11-62G11.1	0	0.05	0	0
RP11-62G11.2	0	0	0	0
RP11-62H7.2	0	0	0.04	0.15
RP11-62I21.1	0	0	0	0
RP11-62J1.3	3.19	0.89	1.79	1.62
RP11-62L10.1	0	0	0	0.12
RP11-62L18.3	0	0	0	0
RP11-62N21.1	0	0	0	0
RP11-630D6.1	0	0	0	0
RP11-630D6.5	0.1	0.04	0.11	0.1
RP11-630I5.1	0.04	0.12	0.16	0.1
RP11-631F7.1	0	0	0	0
RP11-631F7.2	0	0	0	0
RP11-631M21.1	0	0.52	3.28	1.4
RP11-631M21.6	0	0	0	0
RP11-631M6.2	0.26	0.26	0.47	0.76
RP11-631M6.3	0.5	0.26	0.14	1.02
RP11-632C17__A.1	51.75	146.71	1.69	369.89
RP11-632F7.1	0	0	0.12	0
RP11-632F7.3	0	0	0.24	0
RP11-632K20.2	1.31	0.86	1.68	1.66
RP11-632K20.7	1.62	1.52	5.82	7.95
RP11-632K21.3	0	0.04	0	0
RP11-632K5.2	0	0.32	0	0
RP11-632K5.3	0.03	0	0.03	0
RP11-633G11.1	0	0	0	0
RP11-634B22.4	0	0	0	0
RP11-634B7.4	0	0	0	0.03
RP11-634B7.5	0	0	0	0
RP11-635L1.3	0	0	0	0
RP11-637A17.2	0.63	0.53	1.67	3.11
RP11-637O11.2	0	0	0	0
RP11-637O19.2	0	0	0	0
RP11-638O6.1	0	0	0	0
RP11-639B1.1	0	0	0	0
RP11-639F1.1	0	0	0	0
RP11-639F1.2	0	0	0	0
RP11-639F1.3	0	0	0	0
RP11-63A11.1	0	0	0.28	0
RP11-63B19.1	0	0	0	0
RP11-63C8.1	0	0	0	0
RP11-63D14.1	0	0	0	0
RP11-63E16.1	0.04	0	0.04	0.03
RP11-63E5.1	0	0	0	0
RP11-63E5.6	0	0	0	0
RP11-63E5.8	0	0	0	0
RP11-63G10.2	0	0	0	0
RP11-63H19.1	0	0	0	0
RP11-63H19.2	0	0	0	0
RP11-63H19.5	0	0	0	0
RP11-63H19.6	0.05	0	0	0
RP11-63H19.8	0	0	0	0
RP11-63K6.1	0	0.03	0	0.03
RP11-63K6.4	0	0	0	0
RP11-63K6.5	0	0	0	0
RP11-63K6.7	0	0	0	0
RP11-63N8.3	0	0	0.03	0
RP11-63P12.2	0.07	0.07	0	0
RP11-63P12.7	0	0	0.33	0.35
RP11-640B6.1	0	0	0	0
RP11-640N11.2	0.03	0.01	0.08	0.08
RP11-641C17.1	0.11	0.16	0.06	0.05
RP11-641C17.2	0	0	0.25	0.03
RP11-641C17.3	0	0	0	0.04
RP11-641C17.4	0	0	0	0.02
RP11-641D5.1	2305.11	817.41	1707.87	1651.509
RP11-641D5.2	0	0	0	0
RP11-642D21.1	0	0	0	0
RP11-642D21.2	0	0	0	0
RP11-642E20.2	0	0	0	0
RP11-642E20.3	0	0	0	0
RP11-642E20.5	0	0	0	0
RP11-643G5.6	0	1.95	0	0
RP11-643N23.1	0	0	0	0
RP11-643N23.2	0	0	0	0
RP11-644C3.1	0	0	0	0
RP11-644K8.1	0	0	0	0
RP11-645N11.3	0	0	0	0
RP11-646D13.1	0	0.12	0	0.1
RP11-646E18.2	0	0	0	0
RP11-646E18.3	0	0	0	0
RP11-646J21.2	0	0	0	0
RP11-646J21.3	0	0	0	0
RP11-646J21.4	0	0	0.1	0
RP11-646J21.6	0	0	0	0
RP11-646J21.7	0	0.03	0.1	0
RP11-647P12.1	0	0	0	0
RP11-648L3.1	0	0	0	0
RP11-648L3.2	0	0.04	0	0
RP11-648M2.1	0	0	0	0
RP11-648O15.1	0.13	0.01	0.15	0.31
RP11-649A16.1	0	0	0.05	0
RP11-649G15.2	0	0	0.06	0.14
RP11-64B16.2	0	0.17	0.06	0
RP11-64C1.1	0	0	0	0
RP11-64D22.1	0	0	0.04	0
RP11-64D22.5	0	0	0	0
RP11-64K12.1	0	0.05	0.15	0
RP11-64K7.1	0.04	0	0.02	0.02
RP11-64P14.7	0	0	0	0
RP11-650J17.1	0	0	0	0
RP11-650J17.2	0	0	0	0
RP11-651J20.1	0	0	0	0
RP11-651P23.2	0.15	0	0	0
RP11-651P23.4	14.34	10.8	12.45	10.12
RP11-651P23.5	0	0	0	0
RP11-653B10.1	0	0	0	0
RP11-653G8.1	0	0	0	0
RP11-654C22.1	0	0	0	0
RP11-654C22.2	0.09	0	0	0.03
RP11-654E17.2	0	0	0	0
RP11-654F3.1	0	0	0	0
RP11-654G14.1	0	0	0	0
RP11-655B23.1	0	0	0	0
RP11-655C2.3	0	0	0.35	0.53
RP11-655G22.1	0	0.09	0.02	0.17
RP11-655G22.2	0	0	0	0
RP11-655H13.2	0	0	0	0
RP11-655M14.12	0.1	0.05	0.15	0
RP11-655M14.13	0.03	0.06	0.18	0.03
RP11-655M14.14	0	0	0	0
RP11-655M14.4	0	0	0	0
RP11-655M19.1	0	0	0	0
RP11-656A15.1	0	0	0	0
RP11-656D10.3	0.18	0.08	0.13	0.95
RP11-656D10.5	0	0	0	0.26
RP11-656D10.6	0.38	0.19	0	0.27
RP11-656G20.1	0	0	0	0
RP11-657G5.2	0	0	0	0
RP11-657O9.1	0	1.84	0.14	0.86
RP11-659E9.2	1.05	0.88	0.34	0.89
RP11-659E9.4	0.12	0.08	0	0.14
RP11-659G9.1	0	0	0	0
RP11-659G9.3	0	0	0	0
RP11-659O3.1	0	0	0	0.13
RP11-659P15.1	0.09	0.04	0.01	0
RP11-659P15.2	0	0	0	0
RP11-65B23.3	0	0	0	0
RP11-65D17.1	0	0.02	0	0.04
RP11-65D24.1	0	0	0	0
RP11-65D24.2	0	0	0	0
RP11-65E22.2	0	0	0.01	0.01
RP11-65F13.3	0	0	0	0
RP11-65G9.1	0.64	0.3	1.33	0.24
RP11-65J3.2	0.25	0.23	0.26	0.33
RP11-65J3.3	0.63	0	0	0
RP11-65J3.6	0	0	0	0
RP11-65M17.1	0	0	0	0
RP11-65M17.3	0	0	0	0
RP11-65N13.4	0.09	0	0.46	0.16
RP11-65N13.6	0.12	0	0.15	0.2
RP11-65N13.7	0	0	0	0
RP11-65N13.8	0.25	0.05	0.05	0
RP11-660L16.2	3.81	5.07	6.25	17.12
RP11-661A12.12	0	0.11	0	0.16
RP11-661A12.4	0.17	0	0	0
RP11-661A12.5	0.14	0.59	0.55	0.1
RP11-661A12.7	0.63	0.18	0.09	0.64
RP11-661A12.9	0.04	0.02	0	0.02
RP11-661C8.2	0	0	0	0
RP11-661C8.3	0	0	0	0
RP11-662B19.1	0.1	0	0	0
RP11-662B19.2	0.06	0	0.01	0.19
RP11-662G23.1	0.05	0	0.31	0
RP11-662I13.1	0	0	0	0
RP11-663P9.1	0	0	0	0
RP11-663P9.2	0	0	0	0.15
RP11-664H7.1	0	0	0.12	0.1
RP11-664H7.2	0	0	0	0
RP11-664I21.5	0	0	0	0.04
RP11-664I21.6	0	0	0	0
RP11-665C14.1	0	0.2	0	0
RP11-665C14.2	0	0	0	0
RP11-665C16.1	0	0	0	0
RP11-665E10.1	0	0	0	0
RP11-665E10.3	0	0	0	0
RP11-665E10.5	0.02	0.12	0	0
RP11-665G4.1	0	0	0	0
RP11-665I14.1	0	0	0	0
RP11-666A1.2	0	0	0	0
RP11-666A1.3	0	0.03	0.27	0.19
RP11-666A1.4	0.14	0	0.14	0.47
RP11-666A1.5	0	0.88	1.48	2.3
RP11-666A20.3	0	0	0	0
RP11-666A20.4	0.41	0.33	0.34	0
RP11-666F17.1	0	0	0	0
RP11-666G4.1	0	0.04	0.04	0
RP11-666G4.2	0	0	0	0
RP11-667F9.1	1.1	0	0.03	0.08
RP11-667F9.2	0	0	0	0
RP11-667M19.1	0	0	0	0.27
RP11-668G10.2	0	0.07	0.06	0.17
RP11-669B22.1	0.05	0	0	0
RP11-669M16.1	0	0	0.28	0.14
RP11-669M16.2	0.06	0	0	0
RP11-669M2.1	0	0	0	0
RP11-669M2.2	0	0	0	0
RP11-669N7.2	0.12	3.23	0	0.08
RP11-66A2.1	0	0	0	0
RP11-66A2.2	0	0	0.01	0.01
RP11-66B24.2	1.18	0.48	0.46	0.45
RP11-66B8.2	0.61	0	0.67	0.14
RP11-66C24.1	0	0	0	0
RP11-66D17.3	0.22	0.07	0.21	0.2
RP11-66D17.5	0.27	0.06	0	0.35
RP11-66N11.6	0	0	0	0
RP11-66N11.7	0	0	0	0
RP11-66N24.4	6.37	9.07	4.74	4.99
RP11-66N5.2	0	0	0	0.03
RP11-670N15.1	0.11	0	0	0
RP11-670N15.2	0	0	0	0
RP11-671E7.1	0	0.09	0.74	0.31
RP11-672A2.1	0	0	0	0
RP11-672A2.3	0	0	0	0
RP11-672A2.4	0	0.12	0.04	0
RP11-672A2.5	0	0	0	0
RP11-672A2.6	0	0	0	0.03
RP11-672A2.7	0	0	0	0
RP11-672F9.1	0	0	0	0
RP11-673E1.1	0.13	0.16	0.12	0.31
RP11-673E1.3	4.93	5.6	27.14	20.45
RP11-673E1.4	0.09	0	0.25	0.11
RP11-673F18.1	0	0.1	0	0
RP11-674C21.9	0	0	0	0.08
RP11-674E16.1	0	0.04	0	0
RP11-674E16.4	0.14	0.13	0.43	0.59
RP11-675F6.3	0	0.15	0.08	0
RP11-675F6.4	0	0	0.15	0.09
RP11-675M1.2	0	0	0	0
RP11-676F20.1	0	0	0	0
RP11-676F20.2	0	0	0	0
RP11-676M6.1	0	0.1	0	0.04
RP11-677I18.3	0	0.31	0.69	0
RP11-677I18.4	0	0.14	0	0
RP11-677M14.2	0	0.37	0.52	0.61
RP11-677M14.3	0	0.06	0.22	0.12
RP11-677M14.5	1.03	0.12	0.45	0.33
RP11-677M14.6	0.2	0.38	0.2	0.06
RP11-677M14.7	0.58	0.28	0.56	0.75
RP11-677N16.1	0	0.05	0	0.14
RP11-678B3.1	0	0	0	0
RP11-678D18.1	0	0	0	0
RP11-678L1.1	0	0	0	0
RP11-678P16.1	0	0	0.01	0
RP11-679C8.2	0.58	0.24	0.27	0.25
RP11-679I18.4	0	0	0	0
RP11-67C2.2	0	0	0.87	1.12
RP11-67H2.1	0	0.04	0	0.06
RP11-67K19.3	0.05	0	0.04	0.02
RP11-67L3.2	0	0	0	0
RP11-67L3.4	0.07	0.21	0	0
RP11-67L3.5	0	0.05	0	0
RP11-67L3.6	13.9	23.99	4.06	0.31
RP11-67M24.5	0	0.09	0	0.05
RP11-67M9.1	0	0	0	0
RP11-67P15.1	0	0	0	0
RP11-680B3.2	0.11	0.11	0.28	0.27
RP11-680E19.1	0.01	0.02	0.1	0.02
RP11-680E19.2	0	0	0.02	0
RP11-680F20.4	0	0.06	0	0
RP11-680F20.5	0	0	0	0
RP11-680F20.6	0	0.33	0	0
RP11-680F20.9	0	0	0	0
RP11-680G24.1	0	0	1.5	0
RP11-680H20.2	0.06	0	0	0.02
RP11-680L20.1	0	0	0	0
RP11-681L4.1	0	0.24	0.09	0
RP11-681L8.1	0.74	1.31	1.09	0.76
RP11-681N23.1	0	0	0.11	0.27
RP11-684B2.3	0	0	0	0
RP11-684B2.5	0	0	0	0
RP11-684B20.1	0	0	0	0
RP11-685B14.1	0	0.04	0.12	0.07
RP11-685F15.1	0	0	0.04	0
RP11-685M7.3	0.23	0.19	1.04	0.7
RP11-685M7.5	0	0	0	0.33
RP11-686D16.1	0	0	0	0
RP11-686G23.2	0	0	0	0
RP11-686G8.1	0.09	0	0.27	0
RP11-687M24.4	0	0	0	0
RP11-687M24.8	0.12	0.23	0	0
RP11-688H10.1	0	0	0	0
RP11-688I9.2	0	0	0.12	0
RP11-688I9.4	0	0	0	0
RP11-689J19.1	0	0	0	0
RP11-689K5.3	0	0	0	0
RP11-689N19.3	30.63	6.84	1.13	0.4
RP11-689P11.2	0.03	0.33	0.37	0.11
RP11-689P11.3	0	0.04	0	0
RP11-68D16.1	0	0	0	0
RP11-68D16.2	0.01	0	0	0.02
RP11-68I18.2	0	0	0	0
RP11-68L1.1	0	0	0	0
RP11-68L1.2	0	0	0	0
RP11-68L18.1	0.14	0.09	0.06	0.1
RP11-68L18.2	0	0	0	0
RP11-690C23.2	0	0	0	0
RP11-690C23.3	0	0	0	0.11
RP11-690C23.4	0	0	0	0
RP11-690C23.5	0	0	0	0
RP11-690D19.1	0	0	0.12	0
RP11-690I21.1	0.08	0	0.33	0.15
RP11-691N7.6	0	0	0	0
RP11-692C23.1	0	0	0	0
RP11-692D12.1	0.04	0.18	0	0
RP11-692E14.1	0	0	0	0
RP11-692P14.1	0	0	0	0
RP11-693J15.5	0.46	0.62	37.38	17.95
RP11-693N9.1	0	0	0	0
RP11-693N9.2	8.47	9.25	20.03	19.87
RP11-694D5.1	0	0	0	0
RP11-696F10.1	0	0	0	0
RP11-696F12.1	0	0	0	0
RP11-696N14.1	1.52	0.86	1.24	0.8
RP11-696N14.3	0	0	0.04	0
RP11-696P8.2	0	0	0	0
RP11-697B24.1	0	0	0	0
RP11-697E14.2	0	0	0.05	0
RP11-697E2.7	2.26	0.85	1.23	1.11
RP11-697E23.1	0	0	0	0
RP11-697H10.1	0	0	0	0.25
RP11-697H9.3	1.43	1.14	0.69	2.35
RP11-697M17.2	4.01	3.21	3.9	5.45
RP11-697N18.1	0.03	0.06	0.03	0
RP11-697N18.2	0	0	0	0.05
RP11-697N18.3	0.29	1.08	0.2	0
RP11-698E18.1	0	0	0	0.01
RP11-698N11.2	0	0.43	0	0
RP11-699A7.1	0	0	0	0
RP11-699F16.2	0	0	0	0
RP11-699L21.1	0.21	0.14	0	0
RP11-699L21.2	0.05	0	0	0.04
RP11-69A21.2	0	0	0	0
RP11-69C17.2	0	0	0	0
RP11-69C17.3	0	0	0.06	0
RP11-69C17.4	0	0	0	0
RP11-69D4.3	0	0	0	0
RP11-69D4.5	0	0	0	0
RP11-69E11.4	1.33	1.2	0.95	1.16
RP11-69E11.8	0.06	0	0.19	0.64
RP11-69E9.1	0	0	0	0
RP11-69I13.1	0	0.03	0	0
RP11-69I8.2	4.37	125.1	3	4.07
RP11-69I8.3	0.11	0.05	0	0
RP11-69L16.3	0	0	0	0
RP11-69L16.4	0	0.11	0	0
RP11-69L16.5	0	0.07	0.07	0.06
RP11-69L16.6	0	0.02	0	0
RP11-69M1.1	0	0	0	0
RP11-6B4.1	0	0	0	0
RP11-6B6.3	0	0	0	0.61
RP11-6C10.1	0	0	0	0.06
RP11-6C14.1	0	0	0	0
RP11-6D1.3	0.07	0	0	0
RP11-6E9.4	0.05	0	0	0
RP11-6E9.5	0	0	0	0
RP11-6F2.3	0	0	0	0
RP11-6F2.5	0	0.04	0.08	0.07
RP11-6F6.1	0	0	0	0
RP11-6I2.3	0.38	0.17	0	0.03
RP11-6I2.4	0	0	0	0
RP11-6J21.2	0.33	0	0.06	0.05
RP11-6J24.3	0	0	0	0.12
RP11-6K23.1	0	0	0.03	0.02
RP11-6L6.2	0	0.14	0.38	0.06
RP11-6L6.7	0	0	0	0
RP11-6N13.1	0.19	0.27	0.16	0
RP11-6N13.4	0	0	0	0
RP11-700E23.1	0	0	0	0
RP11-700E23.2	0	0	0.03	0
RP11-700E23.3	0	0	0	0
RP11-700F16.2	0	0	0	0
RP11-700F16.3	0.54	0.43	0.96	0.78
RP11-700H6.1	0.11	0.08	0	0.02
RP11-700H6.2	0	0	0	0
RP11-700N1.1	0	0	0	0
RP11-700P18.1	0	0.01	0	0.01
RP11-700P18.2	0	0	0	0.06
RP11-701I24.1	0	0	0	0
RP11-701I24.3	0	0	0	0
RP11-701P16.2	0.04	0	0	0.07
RP11-701P16.3	0	0	0	0
RP11-701P16.5	0	0.1	0	0
RP11-702C7.1	0	0	0	0
RP11-702C7.2	0	0	0.01	0
RP11-702F3.1	0	0	0	0.05
RP11-702F3.2	0	0	0	0
RP11-702F3.3	0	0	0	0
RP11-702F3.4	0	0.24	0	0
RP11-702H23.2	0.06	0.06	0.06	0.57
RP11-702H23.4	0	0	0	0
RP11-702H23.6	0	0	0	0
RP11-702L6.1	0	0	0	0
RP11-703C10.1	0	0	0	0
RP11-703G6.1	43.92	27.77	43.49	49.8
RP11-703H8.7	0.08	0.32	0	0.06
RP11-703H8.9	0	0	0	0
RP11-704M14.1	0	0	0	0.04
RP11-704M14.2	0	0	0	0
RP11-705O24.1	0	0	1.05	0
RP11-705O24.2	0	0	0	0
RP11-705O24.3	0	0	0	0.11
RP11-706C16.5	0	0	0	0
RP11-706C16.7	0	0	0	0
RP11-706C16.8	0.27	0.41	1	0.74
RP11-706D8.3	0	0	0.27	0.09
RP11-706F1.1	0	0	0	0
RP11-706F1.2	0	0	0	0
RP11-706O15.1	14.75	7.33	19.5	29.55
RP11-706O15.3	0	0.19	1.19	2.87
RP11-706O15.5	7.32	0	5.5	8.85
RP11-706O15.7	1.29	0	1.06	0.46
RP11-706O15.8	0	0	0	0
RP11-707A18.1	0.02	0.01	0.01	0
RP11-707F2.1	0	0	0	0
RP11-707M1.1	0	0	0	0
RP11-707M1.5	0	0.12	0	0
RP11-707M1.6	0.26	0.62	0	0
RP11-707M1.7	0	0	0	0
RP11-707M1.8	0	0	0	0
RP11-707M1.9	0	0	0	0
RP11-707P20.1	0	0	0	0
RP11-708B6.2	2.35	0.42	0	0
RP11-708H21.1	0	0	0	0
RP11-708L7.6	0	0	0	0
RP11-708L7.7	0	0	0	0
RP11-709A23.1	0.3	0	0	0
RP11-709P2.1	0	0	0	0
RP11-70C1.1	0.56	0.36	0.92	0.68
RP11-70C1.3	0	0	0	0
RP11-70F11.2	0	0	0.1	0
RP11-70J12.1	0	0	0	0
RP11-70K10.2	0	0	0	0
RP11-70L8.3	0	0	0	0.18
RP11-70P17.1	3.09	0.78	0.41	0.15
RP11-710A11.2	0	0	0	0
RP11-710E1.1	0	0	0	0
RP11-710F7.2	0	0.11	0	0
RP11-710F7.3	0.01	0.02	0.02	0
RP11-711G10.1	0	0.1	0	0
RP11-712B9.2	0.41	0.46	0.16	0.3
RP11-712L6.5	0.19	0	0.42	0.32
RP11-712L6.7	0.39	0.07	0.6	0
RP11-713C19.1	0	0	0	0
RP11-713C19.2	0	0	0	0
RP11-713H12.1	0	0	0	0.08
RP11-713M15.1	0.08	0	0.02	0.02
RP11-713M6.2	0	0	0	0
RP11-713P14.1	0	0	0	0
RP11-713P17.3	1	0.52	0.92	1.36
RP11-713P17.4	0.11	0	0	0.13
RP11-713P17.5	0	0	0	0
RP11-714G18.1	0	0.04	0.09	0.16
RP11-714L20.1	0.02	0.01	0	0.02
RP11-715G15.1	0	0	0	0
RP11-715I4.1	0	0.38	0	0
RP11-715J22.1	0	0	0	0
RP11-715L17.1	0	0	0	0
RP11-716A19.3	0	0	0	0
RP11-716D16.1	0	0	0	0
RP11-716D19.1	0	0	0	0
RP11-716H6.1	0	0	0	0
RP11-716H6.2	0	0	0	0
RP11-716O23.1	0	0	0	0
RP11-716O23.2	0	0	0	0
RP11-717D12.1	0	0	0	0.03
RP11-717H13.1	0	0	0	0
RP11-718B12.1	0	0	0	0.13
RP11-718B12.2	0.13	0	0	0.06
RP11-718B12.3	0.15	0.25	0.88	0.53
RP11-718B12.5	0	0.03	0.14	0.02
RP11-718M20.5	0	0	0.2	0
RP11-719J20.1	0	0	0	0
RP11-719K4.3	0	0	0	0
RP11-719L21.1	0	0	0	0
RP11-719N22.1	0	0	0	0
RP11-719N22.2	0	0	0	0.06
RP11-71C5.2	0	0	0	0
RP11-71E19.1	0.39	0.59	0.11	0
RP11-71E19.2	0	0	0	0
RP11-71E19.3	0	0	0	0
RP11-71G12.1	0	0.23	2	1.09
RP11-71H17.1	0	0	0	0
RP11-71J2.1	0	0	0.09	0
RP11-71N10.1	0	0	0.07	0
RP11-720D4.3	0	0	0	0
RP11-721G11.1	0	0	0	0
RP11-722M1.1	0	0	0	0
RP11-723C11.2	0	0	0	0
RP11-723D22.2	0	0	0	0
RP11-723D22.3	1.04	0.75	2.97	1.67
RP11-723O4.2	0.71	0.22	0.32	0.87
RP11-723O4.3	0.94	0	0	0.08
RP11-723O4.6	0	0	0	0.17
RP11-723O4.8	0	0	0	0
RP11-724M22.1	0	0	0.06	0.15
RP11-724O16.1	2.4	0.21	0	0
RP11-725D20.1	0.15	0	0	0.05
RP11-725M22.1	0	0	0	0
RP11-726G1.1	7.85	44.14	0.27	0.44
RP11-726G23.10	0	0	0	0
RP11-726G23.11	0	0	0	0
RP11-726G23.12	0	0	0	0
RP11-726G23.2	0	0	0	0
