	IP-08	IP-108b	IP-115b	IP-124b	IP-127	IP-138b	IP-140b	IP-148	IP-197	IP-214	IP-28	IP-31b	IP-36	IP-38b	IP-46	IP-52	IP-57	IP-58b	IP-60	IP-67b	IP-73	IP-82b	IP-89b	IP-99
TLR5	11.59	2.06	4.35	8.68	4.54	8.37	14.67	5.33	10.84	13.55	0.21	7.4	9.52	0.37	8.67	6.38	3.92	1.99	7.31	12.16	2.14	14.38	13.28	1.06
TLR6	13.39	3.15	6.38	9.53	0.37	1.89	6.79	4.33	1.3	1.7	0.97	4.82	1.55	1.17	4.97	2.29	2.1	0.76	1.34	1.36	6.12	1.09	4.21	1.25
TLR7	2.93	0.14	0.51	4.36	0.32	1.73	1.71	0.84	0.23	1.39	0.23	1.48	0.39	1.54	3	1.11	0	0.45	0.22	0.29	0.44	0.52	0.4	0.06
TLR8	1.18	0.46	0.15	2.07	0	1.78	2.12	1.36	0.23	0.15	0.35	2.2	0.58	0.65	0.43	0.36	0.13	0	0.78	0.44	0.17	0	0.61	0.61
TLR9	3.44	0.7	0.15	3.26	0	1.27	0.66	0.67	0	0.14	0	1.34	0.2	0.25	1.41	3.17	0.33	1.06	2.37	1.85	0.32	1.68	4.47	0
TLX1	0	0	0	0	0	0	0	0	0	0	0	0	0.73	0	0	0	0	0	0	0	0	0	0	0
TLX2	0	0	0	0	0.26	0	0	0.5	0	0.24	0	0	0.31	0	0	0	0	0	0	0	0	0	0	0.13
TLX3	0	0	0	0	0	0	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.53	0	0
TM2D1	21.94	12.43	34.58	21.1	35.15	21.85	18.8	18.98	29.13	39.88	28.19	37.16	56.08	29.34	18.33	32.82	26.94	14.61	38.2	26.48	15.29	26.03	15.81	16.07
TM2D2	7.93	4.26	6.51	11.79	7.22	7.7	6.83	8.92	12.78	7.46	9.39	15.65	7.38	15.14	5.06	17.38	7.49	0	8.12	7.5	13.78	6.81	23.76	13.27
TM2D3	15.72	13.4	16.63	35.94	29.36	15.77	12.57	11.61	10.74	42.77	13.4	33.09	37.96	15.1	27.37	16.06	22.92	8.09	20.52	19.86	15.94	20.36	5.92	6.79
TM4SF1	10.95	46.41	145.02	29.43	39.36	63.21	48.55	37.35	21.56	99.19	251.32	77.8	10.18	6.51	31.44	38.68	138.95	17.82	44.53	31.07	76.59	11.37	46.33	123.23
TM4SF18	2.7	0.29	3.31	7.32	0.29	0.78	0.41	1.04	0.92	4.62	0.93	3.36	0	2.93	0.77	0.64	1.77	2	7.98	1.81	1.6	9.11	1.09	0
TM4SF19	2.53	0	39.27	0	0	0	0	1.08	0	2.65	4.37	17.76	0.67	0	0	0	8.36	0	0	6.02	3.96	0	0	0
TM4SF20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.86	0	0	1.24	0	0	0	0
TM4SF4	1.48	0	0	0	0	10.09	0	0	4.66	1.07	0	0	0	0	1.16	0	0.3	10.68	0	3.46	2.59	0	42.56	0
TM4SF5	0	0	0	0	0	9.57	0	0.57	0	0	0	0	3.85	0	0	0	0.68	0	0	9.66	0	0	2.23	0
TM6SF1	1.22	1.15	1.26	0.51	1.56	1.75	9.68	2.02	0.84	2.73	1.81	2.88	1.49	0.31	1.38	0.76	0.97	7.59	1.19	1.94	1.83	0	2.93	0.75
TM6SF2	0	0.2	1.97	3.04	0	0.92	0	0.21	0	0.3	0	2.96	3.11	1.59	0.39	0.28	0.48	0	0	0.43	0.22	0	3.35	0
TM7SF2	9.24	5.36	7.73	6.11	6.26	15.41	13.34	6.61	20.85	14.48	17.62	3.96	39.87	2.48	11.25	6.68	13	11.75	6.72	4.48	6.41	70.12	5.65	5.13
TM7SF3	18.58	17.13	45.82	53.48	59.72	62.62	30.54	37.72	50.24	90.05	29.61	46.62	45.36	28.17	29.11	32.83	64.72	8.96	130.06	15.57	50.39	85.82	48.26	24.9
TM9SF1	18.07	5.14	30.68	17.74	7.29	30.62	18.81	13.64	23.48	16.48	29.93	15.5	25.53	22.36	14.32	15.89	18.74	36.92	8.39	15.56	20.16	36.64	27.68	20.84
TM9SF2	31.9	19.52	18.83	35.98	22.61	16.96	8.21	28.95	36.01	65.46	21.44	44.19	28.34	35.75	21.93	24.9	30.28	8.87	21.44	18.27	27.12	17.23	7.72	13.68
TM9SF3	24.6	20.33	48.2	81.52	29.98	33.25	30.05	65.78	104.97	151.29	74.31	64.03	45.25	130.61	35.72	50.42	107.24	24.09	60.44	33.41	68.74	24.05	15.97	41.97
TM9SF4	23.91	13.29	24.96	23.52	8.03	39.88	44.26	13.42	21.92	16.34	29.99	18.51	43.54	42.16	24.56	18.01	25.81	27.31	19.56	29.24	15.65	24.16	62.91	22.03
TMA16	8.44	15.64	39.27	11.74	14.62	17.26	8.67	20.29	19.79	10.9	7.51	15.56	11.39	19.15	9.54	17.31	12.51	8.89	12.12	22.76	16.96	10.42	13.14	10.58
TMA7	62.73	31.35	46.45	74.21	41.62	58.63	56.35	108.39	120.85	74.35	41.02	58.68	16.27	61.51	33.3	52.92	57.48	29.12	42.02	58.06	36.74	79.89	42.38	89.89
TMBIM1	41.73	27.92	39.21	44.05	12.82	86.55	75.93	22.35	24.25	24.42	29.09	35.77	44.08	80.53	31.18	41.43	39.33	47.61	27.39	199.54	27.84	57.69	183.1	45.39
TMBIM4	33.78	6.34	16.06	55.04	128.2	19.81	11.9	22.05	32.21	49.7	32.71	41.31	35.81	24.31	27.43	34.38	39.59	5.62	24.66	20.61	34.75	44.71	4.58	22.77
TMBIM6	169.46	48.1	150.82	187.64	69.13	235.22	195.84	112.32	215.95	190.09	326.13	117.62	137.88	225.78	111.07	131.49	249.45	144.07	174.63	146.76	117.93	331.15	124.11	181.47
TMC1	0.2	1.2	13.41	1.36	0.24	1.71	2.55	1.18	1.36	2.15	0.13	0	0	0	0	0.68	0	0	0.92	0	0.71	1.16	1.3	0.41
TMC2	0	0	0	0	0	0	0.16	0	0	0.19	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0
TMC4	52.13	26.71	22.81	23.97	27.64	87.51	17.72	21.58	24.69	23	18.98	9.24	56.91	6.79	19.64	23.1	21.19	119.9	23.46	15.53	42.72	140.16	67.74	30.61
TMC5	39.11	11.99	98.22	4.57	23.72	253.05	17.87	7.65	96.27	158.64	5.57	13.29	0.8	54.81	19.13	39.28	9.76	81.74	49.94	0.93	22.59	37.24	66.29	20.35
TMC6	170.19	34.02	54.93	78.5	34.42	82	70.26	37.26	59.06	17.15	21.14	16.93	29.01	14.49	74.66	56.32	27.37	91.28	28.52	38.8	17.64	184.04	79.05	57.99
TMC7	0.96	2.28	7.21	4.04	0.35	5.17	9.44	0.52	0.42	0.91	0.51	4.1	2.15	2.01	1.35	0.51	1.45	5.88	3.78	8.7	1.91	0	13.02	0
TMC8	44.21	8.87	2.91	26.03	0.42	10.33	15.57	8.8	10.43	0.64	2.35	3.84	4.76	1.76	13.32	6.18	1.86	9.03	4.28	4.86	0.99	10.85	18.72	8.85
TMCC1	21.28	5.04	25.81	25.91	12.07	26.03	21.7	16.74	24.13	31.2	14.81	13.3	52.13	54.6	13.64	25.1	20.5	4.81	13.76	14.07	12.72	49.89	19.97	22.11
TMCC2	0.87	0.85	1.97	1.01	0	1.46	2.56	0.52	0	0.73	0	0	0.25	0.6	0.77	0.3	0.11	2.44	0.28	0	0.28	5.56	0.71	0.64
TMCC3	2.21	8.34	10.61	4.64	0.76	3.56	3.71	3.01	0.2	4.24	4.95	7.5	2.52	10.33	3.25	3.76	5.42	2.58	4.38	8.85	2.04	0.59	8.37	9.72
TMCO1	15.58	11.68	41.12	37.77	25.82	37.11	8.03	30.86	71.65	68.49	17.65	29.85	40.02	40.07	34.35	32.82	61.24	28.89	12.44	17.77	37.73	32.23	3.52	15.96
TMCO2	0	0	0	0	0	1.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMCO3	14.88	14.65	28	47.08	24.11	26.1	29.45	11.9	15.37	45.42	41.15	29.14	61.87	14.59	21.47	14.93	19.22	17.74	9.1	16.38	35	27.63	29.33	11.89
TMCO5A	0.94	0	0	0	0	2.25	0	0.31	0	0	0	0	0	0.38	0.75	0	0	0	0	0	0	0	1.44	0
TMCO6	14.45	3.89	7.21	10.97	7.9	10.79	8.63	3.69	6.76	4.28	2.74	8.3	10.76	10.37	5.41	3.64	7.16	6.62	5.39	8.3	5.18	10.96	8.13	5.15
TMED1	5.07	1	2.94	1.54	2.04	9.4	5.53	2.02	1.86	2.03	0.74	5.84	3.59	4.62	1.76	5.38	1.36	2.46	2.17	4.72	6.41	2.48	6.82	3.7
TMED10	77.15	36.58	111.95	84.07	63.4	128.27	44.4	71.02	192.03	127.91	140.61	88.61	111.32	445.39	62.5	79.84	91.78	108.08	42.28	76.06	99.06	372.85	75.56	78.65
TMED2	61.31	24.86	87.38	97.06	76.36	59.84	94.93	103.77	133.68	250.08	215.95	92.6	117.66	116.26	57.67	74.74	140.9	43.11	63.26	90.36	103.67	40.86	70.69	155.35
TMED3	16.8	5.89	21.23	21.1	17.89	34.87	18.21	11.3	15.57	28.83	13.45	24.88	14.15	13.5	15.79	18.42	23.33	33.72	6.91	25.89	29.8	19.27	27.89	26.59
TMED4	33.86	13.98	36.54	64.25	31.54	49.5	43.22	35.92	37.97	41.4	27.75	33.6	23.88	29.79	33.36	34.77	44.2	70.2	26.21	53.95	28.3	55.48	41.73	39.27
TMED5	15.75	6.62	27.83	15.86	4.87	18.76	20.19	19.9	25.03	34.89	9.96	23.24	16.37	41.15	27.39	24.94	11.36	37.95	14.65	30.16	16.3	12.33	17.75	11.28
TMED6	1.86	0	1.49	4.19	2.27	1.86	1.07	1.28	1.45	3.11	3.18	0	0.79	0	1.07	1.17	7.41	0	4.5	0	2.87	0	1.01	0.78
TMED7	8.44	7.09	22.17	19.83	8.48	5.16	7.57	15.19	43.23	41.1	17.04	21.56	25.3	32.6	11.53	12.95	12.45	22.99	17.5	9.69	22.66	17.41	8.56	31.44
TMED9	27.33	14.66	21.36	23.88	12.85	30.21	45.89	22.07	32.34	29.8	23.99	18.71	14.17	30.52	32.62	24.07	18.34	61.48	19.7	16.83	47.28	42.37	46.28	49.33
TMEFF1	0.69	0	0	0	0	0.46	0.6	0	0	0	0	0	0.51	5.14	0	0.31	0	0	0.65	1.74	0	0	0	0
TMEFF2	0	0.13	0	0	0	0	1.93	4.57	0	1.13	0.21	0	0	0	0	0.14	0	0	0	0	0	0	0	0
TMEM100	0	0.64	0	2.81	0.88	5.88	1.21	11.44	0	1.49	0	2.58	0	0.26	0.21	0	0	0	2.31	0	1.09	2.7	0	0.21
TMEM101	10.62	2.11	8.24	5.22	4.5	4.82	6.63	5.77	8.09	29.75	1.63	6.73	9.53	4.68	8.14	8.77	6.56	3.12	7.42	4.96	5.81	8	9.79	8.27
TMEM104	12.14	2.72	3.96	7.45	13.06	9.83	8.68	3	6	2.67	5.87	3.59	16.45	2.78	10.04	3.54	8.43	8.89	3.14	5.58	6.79	9.74	10.78	7.43
TMEM106A	21.83	9.23	10.17	22.47	5.47	21.85	36.16	12.69	2.39	3.62	16.53	20.83	7.39	3.06	15.22	13.94	10.22	9.42	9.08	15.79	7.95	15.04	44.9	13.6
TMEM106B	9.25	5.37	27	43.97	13.87	13.53	2.52	24.4	56.46	19.96	10.37	29.97	6.01	40.31	30.19	8.9	35.24	12.81	24.52	12.06	24.12	4.73	4.95	21.11
TMEM106C	23.09	4.03	42.91	23.33	15.92	15.4	15.19	13.71	41.3	31.43	61.53	11	40.58	46.92	36.64	18.09	45.01	12.24	23.91	23.49	25.11	45.24	11.42	23.8
TMEM107	4.69	1.95	13.08	15.06	8.46	13.91	9.08	10.05	8.35	19.25	5.52	7.47	34.48	12.18	3.43	9.31	10.13	7.93	2.92	10.06	6.96	32.87	10.77	18.78
TMEM108	0	6.73	1.24	0.58	1.21	15.07	8.59	6.99	1	15.85	3.57	12.33	0.13	1.15	2.69	3.01	1.98	24.1	5.94	0.89	2.62	1.64	8.69	3.39
TMEM109	26.5	4.31	14.67	27.94	4.99	42.8	37.59	13.14	12.93	5.4	9.42	8.71	20.31	17.24	14.48	24.55	18.75	56.79	11.01	24.95	11.34	98.07	43.04	12.46
TMEM11	8.76	3.32	18.05	11.85	2.79	15.93	7.24	5.59	4.36	9.6	6.18	8.58	6.95	13.94	5.64	6.77	8.86	12.95	2.26	17.8	9.95	6.63	11.7	8.04
TMEM115	6.38	4.01	6.21	6.91	3.98	12.76	13.41	4.46	4.18	3.44	1.12	3.95	2.21	4.86	2.46	4.65	4.5	11.58	2.68	7.52	5.02	7.57	14.88	2.61
TMEM116	6.27	2.2	3.98	7.85	19.35	4.34	1.91	10.22	4.35	15.26	19.29	14.35	10.61	3.71	10.65	7.28	19.48	1.81	17.73	1.21	3.49	2.71	3.99	4.49
TMEM117	4.52	8.39	3.85	12.21	0.29	10.43	10.1	1.32	0.15	7.84	4.54	6.26	6.89	0	5.07	1.86	4.69	0	2.99	38.64	4.91	7.96	4.98	3.87
TMEM120A	13.44	5.82	3.29	14.7	3.94	24.69	18.46	10.47	14.04	10.32	11.51	10.63	36.74	22.98	11.65	25.61	4.18	34.01	6.3	18.3	15.67	21.81	11.49	27.32
TMEM120B	5.68	2.36	7.08	3.86	4.98	6	7.96	4.95	5.09	5.54	5.8	4.06	18.36	3.65	5.43	5.49	5.43	4.16	5	10.31	3.37	18.16	13.9	6.09
TMEM121	0.61	0.49	0.35	0	0	0.81	3.18	0.24	0	0	0	0	0	0.6	0	0.27	0	0	0	0	0.25	0	1.88	0.39
TMEM121B	0.34	0.18	0.13	0	0.14	0.29	0.38	0.28	0.23	0.13	0.11	0	0	0.11	0.27	0.9	0.11	0.33	0.14	0	0	0.98	0.17	0.28
TMEM123	111.17	26.41	171.5	118.54	62.17	165.43	126.03	45.1	242.52	110.29	21.44	61.24	77.25	38.54	94.7	46.65	168.73	91.24	40.94	132.55	80.8	41.58	139.2	40.72
TMEM125	4.8	0	3.23	1.5	21.22	88.36	27.27	16.72	20.92	9.04	22.25	0.36	13.48	7.44	12.08	25.42	3.63	31.02	45.48	28.13	3.8	3.84	5.49	10.25
TMEM126A	3.76	1.3	2.79	1.32	8.04	2.12	3.86	5.05	18.81	9.31	6.03	2.25	3.56	8.87	4.59	2.92	6.95	0	5.59	8.95	6.68	3.55	6.84	3.25
TMEM126B	6.59	6.4	22.5	21.05	24.56	11.74	11.23	13.08	47.92	23.94	6.79	17.69	10.64	13.74	15.63	7.81	16.86	4.68	10.55	10.8	17.79	16.3	3.32	5.52
TMEM127	23.81	9.04	24	24.19	6.91	37.34	32.32	12.84	12.21	8.79	14.92	17.68	28.48	10.41	15.78	18.01	25.01	33.32	7.99	25.53	12.12	61.09	47.86	11.7
TMEM128	2.88	2.15	4.81	8.48	3.91	5.11	3.31	5.71	9.22	9.69	5.37	5.34	3.25	6.74	5.05	2.77	2.26	3.89	8.36	2.64	8.53	0	2.05	3.91
TMEM129	10.61	3.77	11.39	7.5	3.89	12.13	11.51	5.29	2.21	7.59	9.54	6.37	21.8	3.06	4.85	4.59	7.67	10.52	2.08	8.26	6.18	15.86	10.44	8.32
TMEM130	0.79	0	0	1.94	8.9	1.55	2.45	1.44	0	0.46	0	0	0	2.5	3.18	3.81	0	1.39	1.84	0	0	1.74	0.31	0.13
TMEM131	29.15	11.13	36.4	26.3	25.21	49.26	25.58	19.28	20.19	26.43	21.7	25.43	23.64	42.18	16.35	13.4	16.26	12.27	16.8	19.78	15.09	30.61	24.54	11.28
TMEM131L	22.34	2.3	14.93	19.82	11.93	5.64	5.41	12.36	14.19	14.37	1.11	3.81	3.77	2.11	6.07	6.43	2.17	9.84	4.57	8.84	2.41	0	10.25	9.7
TMEM132A	23.53	13.9	30.51	29.55	0.92	12.21	29.59	4.82	11.09	11.63	4.47	11.96	9.81	17.77	5.87	9.87	23.2	38.79	8.76	33.09	9.1	36.89	70.91	3.32
TMEM132B	0.5	0.24	0.1	0	0	1.56	8.81	0.17	0.04	1.85	0.2	0.17	2.48	0	0.2	0.2	0.16	0	1.83	1.64	1.22	0	0.66	0
TMEM132C	0.35	0.07	0	0.71	0	0.47	0.71	0.07	0	0.3	0	0.25	0.26	0	0	0	0.08	0	0.11	0	0	0	0	0
TMEM132D	0	0	0	0	0	0	0.24	1.29	0.07	0.08	0	0	0	0	0	0	0	0	1.01	0	0	0	0.13	0
TMEM132E	0.23	0.08	0	0.64	0	0.79	2.11	0	0	0.11	0	0	0	0	0	0.18	0	0.39	0.5	0	0.08	0.59	0.48	0
TMEM134	20.97	7.89	18.98	22.87	9.56	30.88	31.54	15.31	117.01	13.3	19.73	11.14	25.12	21.73	12.32	19.06	13.88	29.46	11	11.73	8.4	68.81	40	19.94
TMEM135	31.03	10.68	26.21	29.87	22.96	15.23	11.65	7.54	67.39	19.44	29.06	18.53	25.19	27.82	9.12	11.83	10.06	8.08	14.14	27.15	4.72	28.38	7.51	6.03
TMEM138	67.01	7.72	16.03	48.48	19.37	83.66	55.98	22.6	26.74	23.12	53.34	18.77	104.77	36.79	30.56	31.7	43.64	71.52	37.69	98.41	33.43	200.21	58.11	20
TMEM139	0.26	2.34	0.44	4.25	0	2.49	0	3.31	0	0	0	0.34	1.13	6.66	0	15.28	3.68	12.2	1.45	6.99	6.38	2.74	23.18	3.94
TMEM140	11.21	12.36	5.96	10.21	0.56	10.22	19.79	7.18	1.01	4.74	0.6	15.63	3.34	5.15	16.11	6.48	2.82	4.09	9.56	7.2	2.08	4.01	11.6	5.69
TMEM141	12.41	5.53	15.65	3.83	2.35	15.45	18.56	11.14	10.08	8.97	18.64	8.9	74.86	23.97	12.25	10.79	24.33	11.58	0	24.83	13.21	5.37	12.32	27.64
TMEM143	5.13	1.4	2.83	6.82	1.72	8.3	7.18	3.41	2.43	1.37	2.35	1.64	5.46	4.24	6.54	1.76	3.53	8.02	4.48	2.36	8.52	18.93	18.36	0.78
TMEM144	10.97	3.51	11.95	12.21	16.3	6.45	20.32	7.73	9.49	36.67	15.88	10.5	9.07	10.85	13.93	4.22	10.1	5.68	7.86	8.06	10.77	16.22	7.28	2.23
TMEM147	23.42	6.71	17.39	12.55	6.33	36.73	57.1	17.97	38.18	8.27	10.95	15.67	115.26	32.74	12.11	21.49	17.75	22.53	6.24	147.8	18.9	59.08	49.45	25.44
TMEM14A	2.47	1.19	18.63	7.13	2.43	3.26	1.72	4.31	5.72	13.62	5.74	3.48	12.98	7.27	4.03	7.52	4.67	2.51	5.53	8.22	8.51	7.14	1.52	4.73
TMEM14B	23.13	9.37	61.95	49.76	50.19	13.78	17.16	38.59	85.14	47.71	38.4	26.92	27.71	52.45	35.75	39.17	63.93	17.87	29.83	33.07	37.68	22.1	15.72	34.36
TMEM14C	9.08	6.88	32.82	44.79	22.61	11.47	4.7	17.94	64.32	26.7	17.8	24.81	6.99	44.15	24.52	26.62	30.03	6.2	9.75	21.32	27.52	23.92	4.42	26.65
TMEM150A	11.95	1.69	5.29	6.29	17.08	7.72	10.94	8.54	7.13	4.76	3.28	4.11	10.3	5.77	16.82	6.5	4.83	15.46	10.48	29.46	4.53	36.85	11.17	11.72
TMEM154	11.97	6.03	0.29	15.19	4.34	9.85	3.95	3.13	1.15	7.55	2.64	10.69	1.85	4.26	7.55	2.89	1.66	13.08	8.15	1.99	1.49	1.82	5.68	5.63
TMEM156	9.29	2.52	32.13	3.25	0	1.43	9.92	3.25	1.81	3.36	0	0	0	0.51	11.41	1.99	0	0	0.3	0.39	8.55	0	1.67	0.15
TMEM158	1	1.42	14.78	3.23	0	1.32	2.03	1.8	0.89	1.15	0.98	3.9	0.37	0.99	0.21	1.81	0	1.61	0.63	0.84	1.88	0	33.6	0.48
TMEM159	12.16	2.38	8.25	12.65	1.53	7.76	10.34	2.74	14.83	4.04	3.7	4.64	12.12	3.12	8.72	14.72	4.92	10.39	10.08	3.93	8.59	7.93	5.02	6.24
TMEM160	4.06	1.27	4.54	0	0	0	0.94	0.63	2.17	0	2.05	1.13	0	6.32	1.31	0	2.26	4.06	1	1.34	3.25	0	8.69	2.57
TMEM161A	21.1	6.84	9.22	16.36	1.22	19.37	17.52	3.95	7.34	0.93	13.23	1.76	10.55	3.29	5.32	5.88	9.13	18.21	3.61	32.44	4.26	9	22.28	2.79
TMEM161B	13.46	9.51	7.8	25.69	21.52	9.22	4.93	11.02	17.38	17.43	15.13	15.69	22.07	9.8	9.23	10.1	8.88	5.37	22.14	6.8	9.7	14.63	7.15	11.82
TMEM163	3.3	3.55	6.53	3.17	20.44	12.87	24.85	11.21	3.1	4.23	10.51	1.09	0.84	0.24	31.03	11.45	0.23	5.33	8.06	0	1.79	2.95	4.54	0.78
TMEM164	11.22	10.04	17.38	13.15	17.11	22.42	15.92	4.82	5.13	5.15	6.66	18.96	7.73	6.88	6.61	19.03	15.4	6.53	17.73	31.51	9.14	35.04	13.29	2.04
TMEM165	236.03	113.88	175.17	179.01	96.59	219.12	211.26	149.67	200.53	210.46	184.19	233.53	69.68	92.06	72.17	147.15	99.89	185.44	107.38	110.42	91.85	53.54	217.82	194.39
TMEM167A	16.46	11.64	22.37	40.21	30	19.57	12.61	31.18	39.3	37.33	99.53	46.66	38.85	50.32	18.48	27.96	29.38	16.63	33.01	36.56	29.49	43.65	17.32	31.97
TMEM167B	18.35	5.37	13.92	18.96	5.95	17.09	14.84	16.12	15.18	16.87	13.19	19.51	13.09	10	11.84	15.91	6.99	8.13	15	15.09	7.66	16.14	19.68	29.34
TMEM168	13.78	9.36	14.91	20.06	14.66	9.17	9.36	15.17	11.27	21.23	17.21	23.22	11.19	21.6	13.72	27.46	8.97	10.59	16.63	14.3	11.6	11.34	9.18	14.15
TMEM169	0.72	0.43	0.15	3.37	0.52	1.2	0.15	0.65	0	0.32	0	0.38	0	0	0.55	1.54	1.99	0	0.35	2.87	1.48	0	1.72	0.09
TMEM17	0.72	0.17	1.36	0.45	0.6	0.65	0.49	0.67	2.21	2.11	0.55	1.18	1.23	0	0.4	1.58	3.5	0	1.04	0.71	2.72	0	2.58	0.27
TMEM170A	11.15	5.43	15.3	16.63	10.95	12.65	8.05	13.09	11.67	16.75	6.42	9.53	11.81	14.74	11.29	16.75	7.18	11.79	16.78	15.03	12.13	5.41	16.23	5.57
TMEM171	0	0	5.68	0.61	0	1.01	0	0.61	0.68	0.44	0	0.54	0.56	0	0	0	0	0	0	0	0.94	0	0	0.24
TMEM174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM175	25.49	5	5.79	18.98	3	32.41	28.13	7.96	12.74	12.35	8.48	8.93	25.19	9.15	10.11	11.02	22.77	36.18	7.87	4.86	7.17	54.21	66.55	23.95
TMEM176A	20.02	3.06	2.77	19.57	0	61.3	11.23	13.2	1.13	7.74	0	13.96	15.44	1.83	6.28	49.26	23.99	52.31	7.13	65.83	7.2	22.5	53.51	6.9
TMEM176B	33.87	7.24	10.38	25.46	1.19	98.85	32.61	23.88	2.32	17.25	3.35	24.17	18.48	4.76	6.88	65.42	51.88	117.35	7.11	47.51	10.32	45.18	50.49	13.63
TMEM177	11.82	2.84	9.72	4.85	8.06	10.6	13.67	6.79	2.3	6.35	8.45	3.36	7.24	4.88	7.53	4.01	14.9	2.19	5.3	9.32	2.41	4.27	5.2	3.09
TMEM178A	1.62	0.45	0.42	2.22	0	10.73	8.6	1.57	0	6.24	0.48	1.56	1.73	0	1.38	0.99	1.78	0	3.17	0	0.98	11.89	6.04	1.15
TMEM18	16.17	5.63	14.69	21.23	14.27	13.71	13.29	5.98	5.96	6	2.3	11.44	8.72	16.97	8.01	10.03	9	8.53	15.76	7.41	8.32	12.14	11.94	8.73
TMEM181	12.04	7.93	9.21	20.18	9.01	19.2	7.08	9.4	14.89	9.96	16.83	25.42	30.52	20.03	10.08	14.93	16.62	9.38	12.95	24.13	17.93	11.48	10.69	10.02
TMEM182	3.22	1	6.37	4.84	2.33	2.4	3.92	4.94	2.97	6.75	4.01	4.68	10.14	9.88	3.04	3.84	8.58	0	4.54	4.6	2.79	0	3.53	2.1
TMEM183A	29.15	10.68	43.58	35.25	19.91	18.14	11.6	17.41	31.95	71	17.25	29.32	44.9	24.46	23.32	30.16	50.29	9.63	18.5	29.23	22.85	39.12	13.5	12.37
TMEM184A	21.74	9.43	8.14	50.57	1.56	37.14	6.18	2.81	35.43	7.11	23.62	0.63	9.07	1.74	1.54	3.85	9.75	14.15	5.78	5.46	7.69	51.64	42.89	19.2
TMEM184B	18.11	13.36	15.88	41.07	5.23	54.64	52.56	13.72	16.25	24.37	9.71	12.18	27.53	17.47	20.24	15.42	15.05	29.35	10.54	17.29	19.08	61.75	63.86	11
TMEM184C	8.1	2.94	14.41	21.23	7.3	8.97	4.9	7.87	9.11	10.58	8.99	10.69	8.49	11.7	8.17	6.39	7.71	6.3	10.51	11.56	14.32	7.2	4.52	6.08
TMEM185A	13.95	2.94	10.48	24.33	6.35	15.12	15.37	11.22	2.94	7.29	10.39	9.71	17.81	4.47	4.97	15.4	12.03	9.27	5.88	3.75	10.01	7.78	19.21	9.5
TMEM185B	8.25	4.56	10.76	9.22	7.01	7.94	7.19	5.71	4.14	4.6	2.71	8.22	9.2	7.29	7.29	6.51	8.85	6.81	4.78	12.25	6.48	5.43	9.94	3.33
TMEM186	4.51	1.57	5.97	0.52	4.4	2.14	4.51	3.1	7.76	5.94	5.04	5.03	8.08	5.41	2.64	2.04	4.92	2.49	2.02	2.7	2.69	4.73	3.99	4.35
TMEM187	2.43	1.51	2.22	2.06	1.19	3.92	0.37	3.2	0	2.18	10.01	2.05	2.82	1.17	2.02	1.73	2.78	17.56	3.28	0	1.42	0	0	3.77
TMEM19	22.15	1.99	5.48	13.64	12.01	13.11	5.83	5.84	8.17	6.32	10.55	4.51	3.68	11.44	5	5.45	12.98	8.63	6.96	8.32	6.27	12.89	7.17	3.78
TMEM190	0	0	1	0	0	12.92	0	0	0	1.03	0	0	0	0	0	0	0	0	0	0	0	0	1.37	0.57
TMEM191A	0	0	0	0	1.75	0	0	0.97	1.14	0	0	0	5.03	0.78	1.97	0	0	0	1.08	0	0	1.84	2.19	2.7
TMEM192	4.86	1.11	9.11	5.32	3.74	4.94	5.67	6.01	9.12	7.89	8.69	6.46	3.19	5.91	3.79	6.47	3.3	1.95	8.9	5.54	5.19	1.03	3.05	5.97
TMEM198	0.6	1.07	0.24	0.98	0.5	2.15	1.47	0.31	0.37	0	1.48	0.58	2.09	0.4	1.5	0.18	0.97	5.65	0.25	6.78	0	0	2.82	1.61
TMEM199	12.9	8.63	18.99	17.8	16.81	16.23	14.61	12.01	4.45	13.13	15.24	15.74	12.31	8.95	22.7	3.86	5.55	7.01	10.4	12.83	5.96	6.83	6.63	6.27
TMEM200A	1.4	1.05	1.25	7.29	0	2.4	0	2.42	0.32	0.35	2.45	8.33	1.55	1.05	2.64	1.99	2.02	2.99	2.55	10.42	2.46	0.45	5.34	1.19
TMEM201	3.55	2.28	4.25	5.73	4.47	9.29	7.02	3.24	4.03	2.49	3.2	3.67	4.14	4.29	2.17	4.73	4.01	10.93	5.27	10.79	2.23	7.17	11.85	1.94
TMEM203	6.45	1.91	7.35	7.12	3.64	5.46	7.53	10.12	7.33	11.16	1.61	5	9.1	4.93	3.14	8.48	7.86	0.76	4.79	5.9	4.9	7.77	7.73	8.82
TMEM204	4.7	6.87	2.2	12.16	1.35	5.92	6.47	2.46	1.69	1.71	1.78	6.94	2.4	1.61	1.63	1.35	3.39	1.92	3.77	0.91	7.54	5.85	7.29	0.17
TMEM207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.02	0	0	0	0
